Deeded_Acreage,Year_Built,HEATED_AREA,Accrued_Assessed_Condition_Pct
0.18,1949,1812,15
0.29,1962,1025,63
0.4,1936,2861,76
0.49,1958,3742,51
0.32,1968,2037,66
0.23,1923,2882,67
0.4,1957,1568,51
0.69,1973,3139,69
0.29,1970,1232,67
0.22,1952,1572,89
0.23,1949,2630,33
0.31,1959,1153,57
0.25,1954,1375,56
0.33,1955,1056,65
1.06,1948,4231,46
1.06,1938,1420,50
0.32,2016,4257,96
0.31,1967,2333,94
0.19,1971,1612,69
0.22,1954,1012,93
0.24,1944,2003,95
0.54,1960,1924,62
0.25,1967,1040,59
0.48,1965,2187,70
0.28,1971,1025,88
0.46,1974,2180,65
0.45,1974,4451,95
0.33,1974,2470,37
0.4,1974,2908,65
0.37,1973,3336,93
0.35,1973,2516,61
0.33,1973,2381,55
0.32,1977,1632,32
0.35,2013,3939,94
0.33,1976,1779,36
0.2,1957,1204,37
0.16,1949,750,14
0.5,1962,884,56
0.96,1959,4218,88
0.19,2005,4644,91
0.13,1905,991,72
0.3,1970,1107,67
1.13,1959,1858,62
0.13,1910,2592,88
0.08,1898,1688,86
0.27,1963,1598,48
0.28,1965,1378,65
0.17,1947,1429,93
0.67,1956,4576,88
0.22,1962,1026,85
0.23,2017,4245,96
0.44,1957,1876,89
0.24,1950,1266,73
0.16,1930,1344,82
0.25,1961,1844,68
0.38,1969,1170,67
1.88,1978,1456,65
0.19,2014,3027,95
0.14,1948,1330,27
0.34,1957,2102,35
0.71,1940,1376,54
0.43,1966,2562,73
0.15,1923,1996,94
0.47,1964,1688,81
0.35,1983,3627,88
0.29,1939,3037,68
0.58,1969,1780,69
0.46,1968,1680,69
0.22,1956,1012,73
0.23,1965,1389,96
0.21,1963,1509,42
0.97,1973,1188,92
0.35,1951,1414,96
0.31,1935,852,73
0.29,1960,1419,67
0.49,1970,2816,65
3.4,1950,2938,62
1.91,1988,3196,86
0.63,1945,1310,1
0.46,1963,1424,72
0.58,1916,1708,65
0.63,1952,2103,59
0.77,1966,1346,58
0.41,1947,2236,66
0.25,1925,3215,71
0.3,1957,2114,66
0.1,2018,1736,97
